Instances,feature_ VariableCount,feature_ VPOPSMean,feature_ POPSCount,feature_ PSSMaximum,feature_ PSSMean,feature_ PSSStandardDeviation,feature_ VPOPSMaximum,feature_ VPOPSStandardDeviation,feature_ PatterndatabaselowerboundIndegreeMaximum,feature_ PatterndatabaselowerboundIndegreeMean,feature_ PatterndatabaselowerboundIndegreeStandardDeviation,feature_ PatterndatabaselowerboundLeafCount,feature_ PatterndatabaselowerboundNTCCount,feature_ PatterndatabaselowerboundNTCMax,feature_ PatterndatabaselowerboundNTCMean,feature_ PatterndatabaselowerboundNTCStandardDeviation,feature_ PatterndatabaselowerboundOutdegreeMaximum,feature_ PatterndatabaselowerboundOutdegreeMean,feature_ PatterndatabaselowerboundOutdegreeStandardDeviation,feature_ PatterndatabaselowerboundRootCount,feature_ PatterndatabaselowerboundTotalDegreeMaximum,feature_ PatterndatabaselowerboundTotalDegreeMean,feature_ PatterndatabaselowerboundTotalDegreeStandardDeviation,feature_ SimplelowerboundIndegreeMaximum,feature_ SimplelowerboundIndegreeMean,feature_ SimplelowerboundIndegreeStandardDeviation,feature_ SimplelowerboundLeafCount,feature_ SimplelowerboundNTCCount,feature_ SimplelowerboundNTCMax,feature_ SimplelowerboundNTCMean,feature_ SimplelowerboundNTCStandardDeviation,feature_ SimplelowerboundOutdegreeMaximum,feature_ SimplelowerboundOutdegreeMean,feature_ SimplelowerboundOutdegreeStandardDeviation,feature_ SimplelowerboundRootCount,feature_ SimplelowerboundTotalDegreeMaximum,feature_ SimplelowerboundTotalDegreeMean,feature_ SimplelowerboundTotalDegreeStandardDeviation,feature_ GreedyhillclimbingErrorbound,feature_ GreedyhillclimbingIndegreeMaximum,feature_ GreedyhillclimbingIndegreeMean,feature_ GreedyhillclimbingIndegreeStandardDeviation,feature_ GreedyhillclimbingLeafCount,feature_ GreedyhillclimbingOutdegreeMaximum,feature_ GreedyhillclimbingOutdegreeMean,feature_ GreedyhillclimbingOutdegreeStandardDeviation,feature_ GreedyhillclimbingRootCount,feature_ GreedyhillclimbingTotalDegreeMaximum,feature_ GreedyhillclimbingTotalDegreeMean,feature_ GreedyhillclimbingTotalDegreeStandardDeviation,feature_ AnytimewindowA*Errorbound,feature_ AnytimewindowA*IndegreeMaximum,feature_ AnytimewindowA*IndegreeMean,feature_ AnytimewindowA*IndegreeStandardDeviation,feature_ AnytimewindowA*LeafCount,feature_ AnytimewindowA*OutdegreeMaximum,feature_ AnytimewindowA*OutdegreeMean,feature_ AnytimewindowA*OutdegreeStandardDeviation,feature_ AnytimewindowA*RootCount,feature_ AnytimewindowA*TotalDegreeMaximum,feature_ AnytimewindowA*TotalDegreeMean,feature_ AnytimewindowA*TotalDegreeStandardDeviation,feature_ GOBNILPErrorbound,feature_ GOBNILPIndegreeMaximum,feature_ GOBNILPIndegreeMean,feature_ GOBNILPIndegreeStandardDeviation,feature_ GOBNILPLeafCount,feature_ GOBNILPOutdegreeMaximum,feature_ GOBNILPOutdegreeMean,feature_ GOBNILPOutdegreeStandardDeviation,feature_ GOBNILPRootCount,feature_ GOBNILPTotalDegreeMaximum,feature_ GOBNILPTotalDegreeMean,feature_ GOBNILPTotalDegreeStandardDeviation,feature_ CPBayesErrorbound,feature_ CPBayesIndegreeMaximum,feature_ CPBayesIndegreeMean,feature_ CPBayesIndegreeStandardDeviation,feature_ CPBayesLeafCount,feature_ CPBayesOutdegreeMaximum,feature_ CPBayesOutdegreeMean,feature_ CPBayesOutdegreeStandardDeviation,feature_ CPBayesRootCount,feature_ CPBayesTotalDegreeMaximum,feature_ CPBayesTotalDegreeMean,feature_ CPBayesTotalDegreeStandardDeviation,algo_astar-ec,algo_astar-ed3,algo_astar-comp,algo_cpbayes,algo_ilp-141,algo_ilp-141-nc,algo_ilp-162,algo_ilp-162-nc
synth-1940-23-6-2-0.5-0-476_bdeu-1-2,3.53,2.0,1.83,0.49,7.0,8.0,1.83,1.92,1.0,10.0,3.65,1.9,0.6,2.0,1.78,0.6,8.0,8.0,1.78,2.02,2.0,10.0,3.57,1.88,0.64,2.0,1.7,0.63,8.0,9.0,1.7,2.14,2.0,11.0,3.39,2.06,10.8,2.0,1.74,0.54,8.0,6.0,1.74,1.84,1.0,8.0,3.48,1.73,1050.0,2.0,1.75,0.48,2.0,1.96,0.21,5.0,5.0,6.0,3.0,1.73,8.0,1.96,1.92,0.0,10.0,3.91,1.93,2.0,1.96,0.21,6.0,2.0,13.0,8.0,7.07,6.0,1.96,1.66,0.0,8.0,3.91,1.68,150.0,45.65,33.56,23.0,1.04,1.16,13.97,0.5,5.66,12.59,3.26,8.9
synth-1941-32-2-2-0.5-0-461_bdeu-100-3,12.09,3.0,2.72,0.81,9.0,15.0,2.72,3.82,2.0,18.0,5.44,3.69,1.5,3.0,2.72,0.81,8.0,13.0,2.72,3.52,2.0,16.0,5.44,3.28,2.05,3.0,2.78,0.66,10.0,17.0,2.78,4.1,1.0,19.0,5.56,3.98,14.07,3.0,2.72,0.81,9.0,16.0,2.72,3.82,2.0,18.0,5.44,3.61,58279.0,3.0,2.84,0.4,3.0,2.91,0.53,5.0,5.0,14.0,4.8,5.17,14.0,2.91,3.31,1.0,17.0,5.81,3.43,3.0,2.91,0.53,5.0,5.0,14.0,5.0,5.05,13.0,2.91,3.16,1.0,16.0,5.81,3.29,3739.0,1821.22,997.17,32.0,NaN,NaN,24.49,1081.05,NaN,NaN,NaN,NaN
synth-1942-38-5-2-0.5-0-7696_bdeu-0.1-2,9.88,2.0,1.61,0.75,11.0,5.0,1.61,1.53,6.0,6.0,3.21,1.83,2.5,2.0,1.74,0.6,12.0,6.0,1.74,1.7,3.0,8.0,3.47,1.87,1.36,2.0,1.66,0.67,14.0,7.0,1.66,1.83,4.0,7.0,3.32,1.89,10.63,2.0,1.76,0.59,11.0,5.0,1.76,1.62,3.0,7.0,3.53,1.81,4707.0,2.0,1.87,0.36,2.0,1.84,0.49,11.0,7.0,6.0,3.43,1.4,7.0,1.84,1.72,2.0,9.0,3.68,1.95,2.0,1.84,0.49,11.0,9.0,6.0,2.89,1.27,7.0,1.84,1.69,2.0,9.0,3.68,1.92,386.0,123.87,89.14,38.0,NaN,NaN,1272.13,239.39,51.33,51.4,60.05,63.78
synth-1943-60-2-2-0.5-0-350_bdeu-1-4,14.88,4.0,1.6,1.12,15.0,8.0,1.6,1.55,12.0,10.0,3.2,2.03,-1.0,4.0,2.22,1.09,10.0,11.0,2.22,1.98,4.0,13.0,4.43,2.59,0.59,4.0,1.43,0.96,24.0,7.0,1.43,1.66,9.0,9.0,2.87,1.85,14.3,4.0,1.57,0.93,18.0,6.0,1.57,1.51,6.0,8.0,3.13,1.79,4505.0,4.0,2.71,0.85,4.0,2.18,1.14,9.0,2.0,44.0,23.0,29.7,10.0,2.18,1.94,4.0,13.0,4.37,2.62,4.0,2.22,1.09,10.0,2.0,44.0,23.0,29.7,11.0,2.22,1.98,4.0,13.0,4.43,2.59,2763.0,75.08,355.18,60.0,NaN,NaN,NaN,NaN,125.73,231.69,78.56,80.58
synth-1944-21-5-2-0.5-0-387_bic-4,5.56,4.0,1.71,1.1,4.0,5.0,1.71,1.59,3.0,6.0,3.43,1.5,0.2,4.0,1.57,1.16,7.0,6.0,1.57,1.66,4.0,6.0,3.14,1.46,0.0,4.0,1.71,1.1,4.0,5.0,1.71,1.59,3.0,6.0,3.43,1.5,11.3,3.0,1.52,1.03,5.0,6.0,1.52,1.44,4.0,6.0,3.05,1.43,397.0,4.0,1.95,0.85,4.0,2.19,0.93,2.0,5.0,8.0,3.4,2.61,6.0,2.19,1.75,0.0,9.0,4.38,1.86,4.0,2.57,0.81,1.0,2.0,17.0,10.0,9.9,6.0,2.57,1.66,0.0,9.0,5.14,2.1,53.0,18.9,14.87,21.0,2.02,1.96,5.54,0.88,0.23,0.86,0.76,0.82
synth-1945-57-5-2-0.5-0-1108_bdeu-0.1-4,16.52,4.0,1.88,1.32,19.0,9.0,1.88,2.11,11.0,10.0,3.75,2.61,-1.0,4.0,2.98,1.29,10.0,10.0,2.98,2.77,5.0,14.0,5.96,3.71,2.65,4.0,2.04,1.44,24.0,12.0,2.04,2.85,10.0,13.0,4.07,3.14,15.49,4.0,2.14,1.37,19.0,11.0,2.14,2.7,9.0,12.0,4.28,3.12,7982.0,4.0,2.82,0.94,4.0,2.93,1.27,11.0,5.0,36.0,8.8,15.21,10.0,2.93,2.9,5.0,14.0,5.86,3.78,4.0,2.98,1.29,10.0,2.0,44.0,23.5,28.99,10.0,2.98,2.77,5.0,14.0,5.96,3.71,731.0,140.04,182.55,57.0,NaN,NaN,NaN,NaN,55.33,108.89,87.97,118.43
synth-1946-22-8-2-0.5-0-2822_bdeu-0.1-5,2.05,5.0,3.27,1.7,4.0,10.0,3.27,2.78,2.0,10.0,6.55,2.32,0.4,5.0,3.36,1.65,4.0,11.0,3.36,3.05,1.0,12.0,6.73,2.59,1.68,5.0,3.36,1.71,4.0,10.0,3.36,2.9,2.0,12.0,6.73,2.83,10.54,5.0,3.32,1.67,4.0,10.0,3.32,2.82,2.0,10.0,6.64,2.65,8630.0,5.0,3.34,0.93,5.0,3.95,1.21,2.0,3.0,14.0,6.0,6.93,9.0,3.95,2.97,0.0,14.0,7.91,3.41,5.0,4.36,1.14,2.0,3.0,14.0,6.0,6.93,10.0,4.36,3.06,0.0,15.0,8.73,3.57,1198.0,392.27,318.7,22.0,4.8,5.33,1055.2,2.16,190.84,211.32,126.95,151.02
synth-1947-33-3-2-0.5-0-134_bdeu-10-4,10.66,4.0,2.36,1.48,8.0,9.0,2.36,1.95,7.0,9.0,4.73,2.21,1.4,4.0,2.58,1.58,9.0,8.0,2.58,2.39,7.0,10.0,5.15,2.82,1.64,4.0,2.39,1.43,8.0,8.0,2.39,2.33,6.0,10.0,4.79,2.55,11.47,4.0,2.33,1.41,9.0,7.0,2.33,2.1,5.0,9.0,4.67,2.41,3255.0,4.0,2.94,1.03,4.0,3.09,1.31,6.0,1.0,27.0,27.0,0.0,8.0,3.09,2.35,4.0,11.0,6.18,3.17,4.0,3.12,1.29,6.0,1.0,26.0,26.0,0.0,10.0,3.12,2.36,4.0,13.0,6.24,3.2,230.0,98.64,64.28,33.0,NaN,NaN,NaN,86.98,160.0,153.28,168.54,149.08
synth-1948-32-6-2-0.5-0-115_bdeu-0.1-2,4.82,2.0,1.22,0.75,12.0,4.0,1.22,1.31,6.0,6.0,2.44,1.54,1.0,2.0,1.22,0.75,13.0,4.0,1.22,1.39,6.0,6.0,2.44,1.54,0.0,2.0,1.19,0.78,12.0,4.0,1.19,1.26,7.0,6.0,2.37,1.52,7.16,2.0,1.09,0.69,10.0,3.0,1.09,0.96,6.0,5.0,2.19,1.28,401.0,2.0,1.54,0.64,2.0,1.41,0.71,12.0,3.0,11.0,5.0,5.2,5.0,1.41,1.54,4.0,7.0,2.81,1.99,2.0,1.5,0.72,8.0,7.0,9.0,3.43,2.51,4.0,1.5,1.27,4.0,6.0,3.0,1.81,45.0,12.53,8.07,32.0,NaN,NaN,52.42,5.02,0.16,0.48,0.34,0.62
synth-1949-36-3-2-0.5-0-436_bic-5,11.72,3.0,1.11,0.89,16.0,5.0,1.11,1.39,11.0,6.0,2.22,1.57,0.8,2.0,1.25,0.81,15.0,5.0,1.25,1.54,8.0,7.0,2.5,1.66,0.5,2.0,1.22,0.8,17.0,6.0,1.22,1.71,8.0,7.0,2.44,1.81,12.18,2.0,1.22,0.83,15.0,5.0,1.22,1.53,9.0,7.0,2.44,1.81,776.0,4.0,2.1,0.9,3.0,1.78,0.9,11.0,4.0,16.0,5.75,6.85,7.0,1.78,1.77,4.0,10.0,3.56,2.48,3.0,1.86,0.93,11.0,7.0,6.0,3.29,1.5,9.0,1.86,2.02,4.0,12.0,3.72,2.72,90.0,21.56,27.12,36.0,NaN,NaN,71.53,220.01,21.6,20.49,20.71,10.97
synth-1950-47-8-2-0.5-0-794_bdeu-0.1-2,6.77,2.0,1.32,0.86,18.0,6.0,1.32,1.52,12.0,8.0,2.64,1.76,0.5,2.0,1.64,0.7,15.0,6.0,1.64,1.65,6.0,8.0,3.28,1.86,1.14,2.0,1.49,0.75,19.0,6.0,1.49,1.69,7.0,7.0,2.98,1.81,6.13,2.0,1.53,0.75,18.0,6.0,1.53,1.77,7.0,8.0,3.06,1.88,689.0,2.0,1.57,0.62,2.0,1.83,0.52,13.0,9.0,8.0,3.22,2.05,6.0,1.83,1.74,3.0,8.0,3.66,1.96,2.0,1.81,0.54,11.0,12.0,7.0,2.83,1.59,5.0,1.81,1.54,3.0,7.0,3.62,1.76,51.0,14.66,13.34,47.0,NaN,NaN,NaN,77.99,40.77,32.58,11.11,11.04
synth-1951-45-7-2-0.5-0-9636_bdeu-0.1-2,8.48,2.0,1.78,0.6,16.0,11.0,1.78,2.19,4.0,13.0,3.56,2.24,2.3,2.0,1.89,0.38,14.0,7.0,1.89,2.13,1.0,9.0,3.78,1.99,2.09,2.0,1.84,0.47,22.0,9.0,1.84,2.48,2.0,10.0,3.69,2.42,9.11,2.0,1.91,0.36,11.0,8.0,1.91,1.87,1.0,10.0,3.82,1.85,14525.0,2.0,1.92,0.29,2.0,2.0,0.0,10.0,9.0,13.0,3.33,3.64,9.0,2.0,1.88,0.0,11.0,4.0,1.88,2.0,2.0,0.0,9.0,10.0,11.0,3.3,2.75,9.0,2.0,1.83,0.0,11.0,4.0,1.83,647.0,322.78,187.57,45.0,NaN,NaN,NaN,3348.84,250.17,233.22,271.21,285.03
synth-1952-36-2-2-0.5-0-101_bic-3,7.75,2.0,1.17,0.88,15.0,6.0,1.17,1.46,11.0,8.0,2.33,1.9,0.9,3.0,1.19,0.89,16.0,5.0,1.19,1.58,10.0,7.0,2.39,1.9,0.62,3.0,1.14,0.83,19.0,6.0,1.14,1.64,9.0,8.0,2.28,1.89,8.26,3.0,1.14,0.9,14.0,6.0,1.14,1.42,11.0,8.0,2.28,1.88,663.0,3.0,1.66,0.69,2.0,1.39,0.77,14.0,6.0,3.0,2.33,0.52,7.0,1.39,1.73,6.0,9.0,2.78,2.22,3.0,1.47,0.77,12.0,5.0,12.0,4.2,4.38,9.0,1.47,1.83,5.0,11.0,2.94,2.35,76.0,18.42,22.09,36.0,NaN,NaN,61.29,2.0,7.75,10.06,4.55,6.19
synth-1954-37-4-2-0.5-0-217_bic-4,9.47,3.0,1.24,1.04,14.0,4.0,1.24,1.28,11.0,6.0,2.49,1.56,-1.0,3.0,2.0,1.03,8.0,6.0,2.0,1.67,4.0,9.0,4.0,2.42,0.0,3.0,1.41,0.98,13.0,4.0,1.41,1.36,7.0,5.0,2.81,1.54,9.33,3.0,1.46,0.96,12.0,5.0,1.46,1.39,6.0,5.0,2.92,1.55,504.0,4.0,1.66,0.8,3.0,1.95,1.03,10.0,2.0,22.0,12.0,14.14,5.0,1.95,1.58,4.0,8.0,3.89,2.27,3.0,2.0,1.03,8.0,4.0,23.0,7.25,10.5,6.0,2.0,1.67,4.0,9.0,4.0,2.42,45.0,13.62,11.51,37.0,NaN,NaN,344.94,122.87,1.24,3.73,3.5,2.88
synth-1955-40-2-2-0.5-0-4068_bdeu-0.1-2,9.37,2.0,1.1,0.74,15.0,5.0,1.1,1.22,9.0,5.0,2.2,1.42,0.4,2.0,1.02,0.77,17.0,4.0,1.02,1.14,11.0,5.0,2.05,1.3,0.03,2.0,1.0,0.75,16.0,4.0,1.0,1.09,11.0,5.0,2.0,1.28,9.54,2.0,1.15,0.7,15.0,5.0,1.15,1.25,7.0,7.0,2.3,1.52,751.0,2.0,1.61,0.59,2.0,1.5,0.72,10.0,9.0,7.0,3.0,1.73,5.0,1.5,1.45,5.0,7.0,3.0,1.93,2.0,1.55,0.68,9.0,9.0,8.0,3.33,1.94,4.0,1.55,1.24,4.0,6.0,3.1,1.77,72.0,18.78,20.11,40.0,NaN,NaN,248.55,836.16,8.34,9.85,3.01,5.07
synth-1956-28-5-2-0.5-0-2944_bic-2,6.69,2.0,1.5,0.84,12.0,8.0,1.5,1.93,6.0,8.0,3.0,1.96,1.3,2.0,1.57,0.79,11.0,7.0,1.57,1.79,5.0,7.0,3.14,1.76,0.09,2.0,1.64,0.73,11.0,7.0,1.64,1.85,4.0,9.0,3.29,1.94,8.22,2.0,1.54,0.74,10.0,6.0,1.54,1.77,4.0,7.0,3.07,1.84,2023.0,2.0,1.83,0.41,2.0,1.82,0.55,7.0,2.0,16.0,9.0,9.9,6.0,1.82,1.72,2.0,8.0,3.64,1.99,2.0,1.82,0.55,7.0,5.0,8.0,3.8,2.39,6.0,1.82,1.56,2.0,8.0,3.64,1.85,168.0,72.25,50.33,28.0,69.42,68.02,7.31,1.34,7.3,8.02,9.56,7.24
synth-1957-22-2-2-0.5-0-5089_bdeu-1-3,19.38,2.0,1.0,0.82,6.0,3.0,1.0,0.82,7.0,4.0,2.0,1.27,0.0,2.0,1.0,0.82,7.0,3.0,1.0,0.87,7.0,4.0,2.0,1.27,0.0,3.0,1.18,1.1,7.0,4.0,1.18,1.18,7.0,5.0,2.36,1.43,21.06,3.0,1.09,0.97,7.0,4.0,1.09,1.11,7.0,5.0,2.18,1.5,571.0,3.0,2.24,0.83,3.0,1.41,0.8,7.0,3.0,6.0,4.33,2.08,5.0,1.41,1.53,3.0,8.0,2.82,2.04,3.0,1.68,0.99,5.0,3.0,12.0,5.33,5.77,6.0,1.68,1.46,3.0,9.0,3.36,2.34,239.0,25.95,51.94,22.0,7.72,7.34,102.88,0.24,0.06,0.46,0.22,0.41
synth-1959-40-6-2-0.5-0-1293_bdeu-1-2,9.73,2.0,1.58,0.75,15.0,8.0,1.58,2.06,6.0,10.0,3.15,2.37,2.5,2.0,1.62,0.7,17.0,9.0,1.62,2.31,5.0,11.0,3.25,2.37,1.56,2.0,1.52,0.75,18.0,8.0,1.53,2.26,6.0,10.0,3.05,2.46,11.14,2.0,1.55,0.71,15.0,7.0,1.55,1.99,5.0,9.0,3.1,2.15,1834.0,2.0,1.79,0.46,2.0,1.75,0.59,14.0,7.0,7.0,3.43,2.15,9.0,1.75,2.1,3.0,11.0,3.5,2.34,2.0,1.75,0.59,14.0,10.0,5.0,2.5,0.97,9.0,1.75,2.2,3.0,11.0,3.5,2.45,117.0,45.85,34.11,40.0,NaN,NaN,NaN,1122.19,39.97,36.63,30.08,24.02
synth-1960-24-4-2-0.5-0-1718_bdeu-0.1-4,13.33,4.0,1.38,1.21,8.0,6.0,1.38,1.58,7.0,7.0,2.75,1.82,0.0,4.0,1.33,1.24,8.0,5.0,1.33,1.52,8.0,7.0,2.67,1.74,0.0,4.0,1.33,1.24,8.0,5.0,1.33,1.46,8.0,7.0,2.67,1.74,17.04,4.0,1.67,1.24,8.0,5.0,1.67,1.79,6.0,7.0,3.33,2.12,2278.0,4.0,2.72,0.93,4.0,2.37,1.47,4.0,1.0,17.0,17.0,0.0,7.0,2.38,1.97,5.0,11.0,4.75,3.12,4.0,2.92,1.25,2.0,2.0,20.0,11.0,12.73,8.0,2.92,2.21,2.0,12.0,5.83,3.16,382.0,94.92,108.56,24.0,37.84,36.46,371.02,1.16,4.43,10.91,4.24,6.07
synth-1962-31-5-2-0.5-0-5828_bdeu-0.1-4,23.7,4.0,2.0,1.51,14.0,9.0,2.0,2.48,7.0,10.0,4.0,2.91,5.7,4.0,1.97,1.45,13.0,8.0,1.97,2.27,7.0,8.0,3.94,2.53,3.12,4.0,2.19,1.51,12.0,10.0,2.19,2.65,6.0,12.0,4.39,3.2,27.3,4.0,2.26,1.5,14.0,9.0,2.26,2.82,6.0,11.0,4.52,3.34,16780.0,4.0,3.3,0.78,4.0,2.9,1.42,8.0,1.0,23.0,23.0,0.0,11.0,2.9,2.98,4.0,15.0,5.81,4.05,4.0,2.97,1.43,6.0,1.0,25.0,25.0,0.0,10.0,2.97,2.7,4.0,14.0,5.94,3.82,1638.0,541.29,504.61,31.0,NaN,NaN,452.89,169.62,1092.3,1073.84,720.03,631.75
synth-1964-38-4-2-0.5-0-341_bdeu-0.1-3,13.47,3.0,1.55,1.01,11.0,6.0,1.55,1.77,6.0,8.0,3.11,1.93,1.9,3.0,1.61,0.97,12.0,6.0,1.61,1.87,5.0,8.0,3.21,1.99,0.0,3.0,1.61,0.95,11.0,7.0,1.61,1.87,4.0,8.0,3.21,1.95,16.84,3.0,1.58,1.06,14.0,6.0,1.58,1.76,8.0,8.0,3.16,2.2,811.0,3.0,1.9,0.82,3.0,2.13,0.91,8.0,8.0,7.0,3.62,2.2,8.0,2.13,2.15,2.0,10.0,4.26,2.66,3.0,2.24,0.88,8.0,6.0,14.0,4.5,4.81,8.0,2.24,2.2,2.0,11.0,4.47,2.74,77.0,21.34,20.81,38.0,NaN,NaN,664.42,20.63,4.39,8.18,3.88,5.33
synth-1965-49-2-2-0.5-0-744_bic-2,9.26,2.0,0.65,0.69,29.0,5.0,0.65,1.03,23.0,6.0,1.31,1.34,0.0,2.0,0.71,0.65,28.0,5.0,0.71,1.12,19.0,6.0,1.43,1.34,0.0,2.0,0.76,0.66,26.0,5.0,0.76,1.09,18.0,6.0,1.51,1.37,9.21,2.0,0.71,0.65,28.0,6.0,0.71,1.19,19.0,6.0,1.43,1.34,322.0,2.0,1.31,0.72,2.0,0.98,0.69,19.0,11.0,5.0,2.55,1.04,5.0,0.98,1.16,12.0,7.0,1.96,1.72,2.0,1.02,0.69,20.0,9.0,12.0,3.22,3.31,5.0,1.02,1.2,11.0,7.0,2.04,1.78,36.0,6.57,8.91,49.0,NaN,NaN,50.74,13.88,0.42,0.71,0.48,1.31
synth-1967-27-4-2-0.5-0-972_bdeu-1-4,5.65,4.0,1.78,1.34,7.0,6.0,1.78,1.63,5.0,8.0,3.56,1.85,2.9,4.0,1.81,1.27,7.0,5.0,1.81,1.66,4.0,7.0,3.63,1.67,0.0,4.0,1.85,1.29,7.0,6.0,1.85,1.66,4.0,7.0,3.7,1.73,6.93,4.0,1.89,1.25,7.0,5.0,1.89,1.72,3.0,6.0,3.78,1.69,1230.0,4.0,2.59,0.99,4.0,2.56,1.12,4.0,2.0,17.0,9.5,10.61,7.0,2.56,1.97,1.0,9.0,5.11,2.58,4.0,2.96,1.06,4.0,2.0,17.0,11.5,7.78,8.0,2.96,2.41,1.0,12.0,5.93,3.09,186.0,45.56,58.87,27.0,367.37,350.52,65.09,74.08,3.52,5.79,7.68,4.57
synth-1968-32-2-2-0.5-0-707_bic-3,18.47,2.0,0.84,0.72,17.0,5.0,0.84,1.19,11.0,6.0,1.69,1.38,0.0,2.0,0.84,0.72,17.0,6.0,0.84,1.27,11.0,6.0,1.69,1.38,0.0,2.0,0.88,0.75,15.0,5.0,0.88,1.13,11.0,7.0,1.75,1.46,18.95,2.0,0.94,0.8,15.0,5.0,0.94,1.22,11.0,7.0,1.88,1.56,601.0,3.0,1.94,0.86,3.0,1.38,0.98,12.0,5.0,5.0,3.8,1.1,7.0,1.38,1.6,7.0,10.0,2.75,2.36,3.0,1.44,0.98,11.0,5.0,5.0,4.2,0.45,6.0,1.44,1.48,7.0,9.0,2.87,2.31,123.0,18.78,28.43,32.0,NaN,NaN,21.72,0.25,0.65,7.17,2.2,2.48
synth-1969-58-5-2-0.5-0-138_bic-4,11.29,3.0,1.59,0.97,21.0,8.0,1.59,1.83,10.0,10.0,3.17,1.97,3.5,3.0,1.86,0.89,16.0,12.0,1.86,2.47,3.0,13.0,3.72,2.48,1.96,3.0,1.67,0.89,22.0,13.0,1.67,2.47,6.0,14.0,3.34,2.52,11.27,3.0,1.76,0.9,17.0,10.0,1.76,2.11,5.0,11.0,3.52,2.31,2343.0,4.0,2.07,0.76,3.0,2.17,0.75,16.0,6.0,21.0,6.17,7.65,11.0,2.17,2.51,1.0,13.0,4.34,2.84,3.0,2.21,0.74,15.0,9.0,19.0,4.11,5.6,10.0,2.21,2.4,1.0,12.0,4.41,2.72,223.0,40.4,50.45,58.0,NaN,NaN,NaN,NaN,64.01,117.45,33.09,55.98
synth-1971-35-2-2-0.5-0-1659_bdeu-1-5,9.57,2.0,1.11,0.8,14.0,6.0,1.11,1.45,9.0,6.0,2.23,1.59,0.0,2.0,1.06,0.76,13.0,4.0,1.06,1.16,9.0,6.0,2.11,1.35,0.0,2.0,1.17,0.75,12.0,5.0,1.17,1.34,7.0,6.0,2.34,1.57,9.65,3.0,1.14,0.85,15.0,5.0,1.14,1.38,8.0,8.0,2.29,1.72,1506.0,5.0,2.48,0.82,4.0,1.77,1.14,8.0,6.0,12.0,4.0,3.95,8.0,1.77,1.7,5.0,12.0,3.54,2.66,5.0,2.0,1.28,6.0,4.0,14.0,6.75,4.92,9.0,2.0,1.75,4.0,14.0,4.0,2.91,1047.0,43.03,175.88,35.0,NaN,NaN,2.76,0.39,0.2,1.93,0.61,1.46
synth-1972-51-5-2-0.5-0-194_bdeu-1-2,16.4,2.0,1.39,0.75,16.0,7.0,1.39,1.4,8.0,8.0,2.78,1.62,3.2,2.0,1.49,0.7,17.0,7.0,1.49,1.58,6.0,8.0,2.98,1.63,0.66,2.0,1.39,0.75,19.0,6.0,1.39,1.51,8.0,8.0,2.78,1.65,18.81,2.0,1.41,0.75,18.0,5.0,1.41,1.36,8.0,7.0,2.82,1.61,870.0,2.0,1.59,0.6,2.0,1.69,0.55,12.0,10.0,8.0,3.0,2.0,7.0,1.69,1.53,2.0,9.0,3.37,1.74,2.0,1.73,0.53,10.0,9.0,11.0,3.56,3.09,6.0,1.73,1.46,2.0,8.0,3.45,1.69,174.0,17.06,24.88,51.0,NaN,NaN,NaN,NaN,8.57,9.21,3.52,10.09
synth-1973-54-4-2-0.5-0-445_bdeu-100-2,7.22,2.0,1.91,0.4,15.0,16.0,1.91,2.71,2.0,18.0,3.81,2.73,0.9,2.0,1.94,0.3,16.0,14.0,1.94,2.59,1.0,16.0,3.89,2.46,1.42,2.0,1.93,0.33,19.0,11.0,1.93,2.6,1.0,13.0,3.85,2.44,7.04,2.0,1.94,0.3,17.0,13.0,1.94,2.46,1.0,14.0,3.89,2.34,21733.0,2.0,1.93,0.27,2.0,2.0,0.0,14.0,12.0,4.0,2.42,0.79,13.0,2.0,2.34,0.0,15.0,4.0,2.34,2.0,2.0,0.0,15.0,12.0,3.0,2.33,0.49,13.0,2.0,2.32,0.0,15.0,4.0,2.32,877.0,402.46,229.33,54.0,NaN,NaN,NaN,NaN,1218.16,1619.55,2008.51,2027.43
synth-1976-50-8-2-0.5-0-597_bdeu-100-2,6.56,2.0,1.94,0.31,14.0,9.0,1.94,2.08,1.0,11.0,3.88,2.04,1.0,2.0,1.92,0.4,16.0,9.0,1.92,2.17,2.0,11.0,3.84,2.1,1.34,2.0,1.94,0.31,17.0,10.0,1.94,2.39,1.0,12.0,3.88,2.36,7.1,2.0,1.94,0.31,14.0,7.0,1.94,1.75,1.0,8.0,3.88,1.65,12081.0,2.0,1.91,0.3,2.0,2.0,0.0,13.0,11.0,5.0,2.91,1.14,8.0,2.0,1.93,0.0,10.0,4.0,1.93,2.0,2.0,0.0,13.0,11.0,7.0,3.18,1.54,8.0,2.0,1.85,0.0,10.0,4.0,1.85,528.0,241.62,120.53,50.0,NaN,NaN,NaN,2126.33,71.86,74.77,112.25,115.51
